"","GPS_LAT","GPS_LONG","class"
"261",56.65396,25.16652,"3"
"262",57.12653,25.36038,"3"
"263",56.75283,25.10599,"3"
"264",57.31299,25.3363,"3"
"265",56.34621,24.97707,"3"
"266",56.8191,25.1664,"3"
"267",56.85418,25.18066,"3"
"268",57.16919,25.31028,"3"
"269",57.44914,25.42777,"3"
"270",56.35999,25.01568,"3"
"271",56.76281,25.1771,"3"
"272",56.83302,25.2059,"3"
"273",56.88531,25.22715,"3"
"274",56.99037,25.27015,"3"
"275",57.20034,25.35722,"3"
"276",57.3928,25.43807,"3"
"277",56.89524,25.29846,"3"
"278",56.63879,25.29417,"3"
"279",56.24366,25.06906,"3"
"280",57.13633,25.4323,"3"
"281",56.29245,25.12149,"3"
"282",56.88762,25.36267,"3"
"283",56.51248,25.27626,"3"
"284",56.82745,25.40509,"3"
"285",56.91489,25.44148,"3"
"286",56.24612,25.2024,"3"
"287",56.33364,25.23742,"3"
"288",57.08591,25.54661,"3"
"289",56.81972,25.4692,"3"
"290",56.73821,25.53611,"3"
"291",57.01791,25.65345,"3"
"292",56.79838,25.49392,"3"
"293",56.23095,25.32872,"3"
"294",56.66824,25.50711,"3"
"295",56.70321,25.52163,"3"
"296",56.47202,25.45981,"3"
"297",56.90915,25.64129,"3"
"298",57.06641,25.70789,"3"
"299",56.18829,25.37771,"3"
"300",56.50315,25.50586,"3"
"301",56.85278,25.65126,"3"
"302",57.01008,25.71773,"3"
"303",56.28941,25.45178,"3"
"304",57.07604,25.77979,"3"
"305",56.32055,25.49763,"3"
"306",56.40797,25.53343,"3"
"307",56.56533,25.59839,"3"
"308",56.72265,25.66393,"3"
"309",56.79255,25.69328,"3"
"310",56.49153,25.60118,"3"
"311",56.68377,25.68122,"3"
"312",56.37498,25.6529,"3"
"313",56.15545,25.49668,"3"
"314",56.59249,25.67652,"3"
"315",56.78472,25.7572,"3"
"316",57.00782,25.88546,"3"
"317",57.16496,25.95386,"3"
"318",56.74194,25.80637,"3"
"319",56.51088,25.74273,"3"
"320",56.17678,25.77003,"3"
"321",56.27766,25.84514,"3"
"322",56.17495,25.6369,"3"
"323",56.75151,25.87764,"3"
"324",56.87373,25.92987,"3"
"325",56.22345,25.68999,"3"
"326",56.38073,25.75514,"3"
"327",56.46811,25.79159,"3"
"328",56.62531,25.85776,"3"
"329",56.16715,25.69988,"3"
"330",56.2021,25.71428,"3"
"331",56.41176,25.80135,"3"
"332",56.56895,25.86739,"3"
"333",56.83086,25.97891,"3"
"334",56.28553,25.782,"3"
"335",56.44276,25.84767,"3"
"336",56.53007,25.88443,"3"
"337",56.45627,25.88669,"3"
"338",56.92759,26.08819,"3"
"339",56.96252,26.1034,"3"
"340",56.71418,26.02982,"3"
"341",56.30864,25.89127,"3"
"342",56.88467,26.13713,"3"
"343",56.9719,26.17517,"3"
"344",56.44036,26.01312,"3"
"345",56.66727,26.11044,"3"
