system:index,groups,label,.geo
50,"[{classification=0, sum=0.0}, {classification=1, sum=409.12549019607843}, {classification=2, sum=60.0}, {classification=3, sum=1622135.6117646992}, {classification=4, sum=113597.89803921568}, {classification=5, sum=11523.0}, {classification=6, sum=10976.964705882352}]",51,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.52004398968645],[23.310250330578114,56.52004398968645],[23.310250330578114,56.69130878762374],[22.725535247933585,56.69130878762374],[22.725535247933585,56.52004398968645]]]}"
51,"[{classification=0, sum=0.0}, {classification=1, sum=434.6235294117647}, {classification=2, sum=80.0}, {classification=3, sum=1986513.44705883}, {classification=4, sum=38549.427450980394}, {classification=5, sum=17179.37254901961}, {classification=6, sum=8337.741176470588}]",52,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.69130878762374],[23.310250330578114,56.69130878762374],[23.310250330578114,56.86257358556103],[22.725535247933585,56.86257358556103],[22.725535247933585,56.69130878762374]]]}"
52,"[{classification=0, sum=0.0}, {classification=1, sum=313.0}, {classification=2, sum=54.0}, {classification=3, sum=1781491.8823529333}, {classification=4, sum=33931.46666666667}, {classification=5, sum=34992.35294117647}, {classification=6, sum=15228.682352941176}]",53,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,56.86257358556103],[23.310250330578114,56.86257358556103],[23.310250330578114,57.03383838349832],[22.725535247933585,57.03383838349832],[22.725535247933585,56.86257358556103]]]}"
53,"[{classification=0, sum=0.0}, {classification=1, sum=295.0}, {classification=2, sum=36.0}, {classification=3, sum=1029732.7999999928}, {classification=4, sum=41505.94509803917}, {classification=5, sum=15032.450980392154}, {classification=6, sum=5173.129411764707}]",54,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,57.03383838349832],[23.310250330578114,57.03383838349832],[23.310250330578114,57.20510318143561],[22.725535247933585,57.20510318143561],[22.725535247933585,57.03383838349832]]]}"
54,"[{classification=0, sum=0.0}, {classification=1, sum=214.49411764705883}, {classification=2, sum=14.0}, {classification=3, sum=583882.776470589}, {classification=4, sum=189358.6666666668}, {classification=5, sum=18027.41176470588}, {classification=6, sum=9630.4}]",55,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,57.20510318143561],[23.310250330578114,57.20510318143561],[23.310250330578114,57.3763679793729],[22.725535247933585,57.3763679793729],[22.725535247933585,57.20510318143561]]]}"
55,"[{classification=0, sum=0.0}, {classification=1, sum=21.811764705882354}, {classification=2, sum=2.0}, {classification=3, sum=88252.17647058835}, {classification=4, sum=8372.282352941163}, {classification=5, sum=1377.8039215686276}, {classification=6, sum=2686.9411764705883}]",56,"{""type"":""Polygon"",""coordinates"":[[[22.725535247933585,57.3763679793729],[23.310250330578114,57.3763679793729],[23.310250330578114,57.54763277731019],[22.725535247933585,57.54763277731019],[22.725535247933585,57.3763679793729]]]}"
63,"[{classification=0, sum=0.0}, {classification=1, sum=16.0}, {classification=3, sum=91582.11764705903}, {classification=4, sum=668.6274509803922}, {classification=5, sum=123.82352941176471}, {classification=6, sum=1466.894117647059}]",64,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.17751439381187],[23.894965413222643,56.17751439381187],[23.894965413222643,56.34877919174916],[23.310250330578114,56.34877919174916],[23.310250330578114,56.17751439381187]]]}"
64,"[{classification=0, sum=0.0}, {classification=1, sum=265.8705882352941}, {classification=2, sum=66.0}, {classification=3, sum=2924071.329411762}, {classification=4, sum=31552.470588235294}, {classification=5, sum=6243.21568627451}, {classification=6, sum=23708.117647058825}]",65,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.34877919174916],[23.894965413222643,56.34877919174916],[23.894965413222643,56.52004398968645],[23.310250330578114,56.52004398968645],[23.310250330578114,56.34877919174916]]]}"
65,"[{classification=0, sum=0.0}, {classification=1, sum=376.99607843137255}, {classification=2, sum=112.0}, {classification=3, sum=2679786.141176444}, {classification=4, sum=82017.5843137255}, {classification=5, sum=6597.490196078431}, {classification=6, sum=61612.470588235294}]",66,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.52004398968645],[23.894965413222643,56.52004398968645],[23.894965413222643,56.69130878762374],[23.310250330578114,56.69130878762374],[23.310250330578114,56.52004398968645]]]}"
66,"[{classification=0, sum=0.0}, {classification=1, sum=294.4980392156863}, {classification=2, sum=18.0}, {classification=3, sum=1067815.8588235269}, {classification=4, sum=67051.78039215686}, {classification=5, sum=160981.568627451}, {classification=6, sum=12835.482352941177}]",67,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.69130878762374],[23.894965413222643,56.69130878762374],[23.894965413222643,56.86257358556103],[23.310250330578114,56.86257358556103],[23.310250330578114,56.69130878762374]]]}"
67,"[{classification=0, sum=0.0}, {classification=1, sum=347.6235294117647}, {classification=2, sum=36.0}, {classification=3, sum=446636.40000000026}, {classification=4, sum=375075.90588235273}, {classification=5, sum=32085.803921568622}, {classification=6, sum=18822.21176470588}]",68,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,56.86257358556103],[23.894965413222643,56.86257358556103],[23.894965413222643,57.03383838349832],[23.310250330578114,57.03383838349832],[23.310250330578114,56.86257358556103]]]}"
68,"[{classification=0, sum=0.0}, {classification=3, sum=3376.8117647058875}, {classification=4, sum=4094.1960784313733}, {classification=5, sum=50.0}, {classification=6, sum=852.9411764705885}]",69,"{""type"":""Polygon"",""coordinates"":[[[23.310250330578114,57.03383838349832],[23.894965413222643,57.03383838349832],[23.894965413222643,57.20510318143561],[23.310250330578114,57.20510318143561],[23.310250330578114,57.03383838349832]]]}"
78,"[{classification=0, sum=0.0}, {classification=1, sum=165.74901960784314}, {classification=2, sum=26.0}, {classification=3, sum=1020499.7999999975}, {classification=4, sum=11333.066666666666}, {classification=5, sum=3633.078431372549}, {classification=6, sum=11607.270588235295}]",79,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.17751439381187],[24.47968049586717,56.17751439381187],[24.47968049586717,56.34877919174916],[23.894965413222643,56.34877919174916],[23.894965413222643,56.17751439381187]]]}"
79,"[{classification=0, sum=0.0}, {classification=1, sum=357.3764705882353}, {classification=2, sum=56.0}, {classification=3, sum=2797082.094117645}, {classification=4, sum=37350.85490196077}, {classification=5, sum=59486.82352941176}, {classification=6, sum=23612.847058823514}]",80,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.34877919174916],[24.47968049586717,56.34877919174916],[24.47968049586717,56.52004398968645],[23.894965413222643,56.52004398968645],[23.894965413222643,56.34877919174916]]]}"
80,"[{classification=0, sum=0.0}, {classification=1, sum=414.3764705882353}, {classification=2, sum=40.0}, {classification=3, sum=1513347.4235294}, {classification=4, sum=25343.513725490197}, {classification=5, sum=13490.627450980393}, {classification=6, sum=7960.494117647058}]",81,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.52004398968645],[24.47968049586717,56.52004398968645],[24.47968049586717,56.69130878762374],[23.894965413222643,56.69130878762374],[23.894965413222643,56.52004398968645]]]}"
81,"[{classification=0, sum=0.0}, {classification=1, sum=305.0}, {classification=2, sum=32.0}, {classification=3, sum=814002.329411765}, {classification=4, sum=242829.08235294127}, {classification=5, sum=50886.294117647056}, {classification=6, sum=25495.482352941177}]",82,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.69130878762374],[24.47968049586717,56.69130878762374],[24.47968049586717,56.86257358556103],[23.894965413222643,56.86257358556103],[23.894965413222643,56.69130878762374]]]}"
82,"[{classification=0, sum=0.0}, {classification=1, sum=325.0}, {classification=2, sum=130.0}, {classification=3, sum=857495.2235294126}, {classification=4, sum=715657.3960784313}, {classification=5, sum=42890.215686274576}, {classification=6, sum=323283.90588235296}]",83,"{""type"":""Polygon"",""coordinates"":[[[23.894965413222643,56.86257358556103],[24.47968049586717,56.86257358556103],[24.47968049586717,57.03383838349832],[23.894965413222643,57.03383838349832],[23.894965413222643,56.86257358556103]]]}"
