"","LAT","LONG","class","name"
"282",56.88762,25.36267,3,"intensive"
"283",56.51248,25.27626,3,"intensive"
"284",56.82745,25.40509,3,"intensive"
"285",56.91489,25.44148,3,"intensive"
"286",56.24612,25.2024,3,"intensive"
"287",56.33364,25.23742,3,"intensive"
"288",57.08591,25.54661,3,"intensive"
"289",56.81972,25.4692,3,"intensive"
"290",56.73821,25.53611,3,"intensive"
"291",57.01791,25.65345,3,"intensive"
"292",56.79838,25.49392,3,"intensive"
"293",56.23095,25.32872,3,"intensive"
"294",56.66824,25.50711,3,"intensive"
"295",56.70321,25.52163,3,"intensive"
"296",56.47202,25.45981,3,"intensive"
"297",56.90915,25.64129,3,"intensive"
"298",57.06641,25.70789,3,"intensive"
"299",56.18829,25.37771,3,"intensive"
"300",56.50315,25.50586,3,"intensive"
"301",56.85278,25.65126,3,"intensive"
"302",57.01008,25.71773,3,"intensive"
"303",56.28941,25.45178,3,"intensive"
"304",57.07604,25.77979,3,"intensive"
"305",56.32055,25.49763,3,"intensive"
"306",56.40797,25.53343,3,"intensive"
"307",56.56533,25.59839,3,"intensive"
"308",56.72265,25.66393,3,"intensive"
"309",56.79255,25.69328,3,"intensive"
"310",56.49153,25.60118,3,"intensive"
"311",56.68377,25.68122,3,"intensive"
"312",56.37498,25.6529,3,"intensive"
"313",56.15545,25.49668,3,"intensive"
"314",56.59249,25.67652,3,"intensive"
"315",56.78472,25.7572,3,"intensive"
"316",57.00782,25.88546,3,"intensive"
"317",57.16496,25.95386,3,"intensive"
"318",56.74194,25.80637,3,"intensive"
"319",56.51088,25.74273,3,"intensive"
"320",56.17678,25.77003,3,"intensive"
"321",56.27766,25.84514,3,"intensive"
"322",56.17495,25.6369,3,"intensive"
"323",56.75151,25.87764,3,"intensive"
"324",56.87373,25.92987,3,"intensive"
"325",56.22345,25.68999,3,"intensive"
"326",56.38073,25.75514,3,"intensive"
"327",56.46811,25.79159,3,"intensive"
"328",56.62531,25.85776,3,"intensive"
"329",56.16715,25.69988,3,"intensive"
"330",56.2021,25.71428,3,"intensive"
"331",56.41176,25.80135,3,"intensive"
"332",56.56895,25.86739,3,"intensive"
"333",56.83086,25.97891,3,"intensive"
