"","pixels","label","area","year","transition","previous_class","current_class"
"351",NA,138,NA,"1990","3","2","1"
"352",NA,139,NA,"1990","3","2","1"
"353",NA,140,NA,"1990","3","2","1"
"354",NA,141,NA,"1990","3","2","1"
"355",2,142,60,"1990","3","2","1"
"356",NA,143,NA,"1990","3","2","1"
"357",NA,144,NA,"1990","3","2","1"
"358",NA,145,NA,"1990","3","2","1"
"359",NA,146,NA,"1990","3","2","1"
"360",NA,147,NA,"1990","3","2","1"
"361",NA,151,NA,"1990","3","2","1"
"362",NA,152,NA,"1990","3","2","1"
"363",NA,153,NA,"1990","3","2","1"
"364",NA,154,NA,"1990","3","2","1"
"365",NA,155,NA,"1990","3","2","1"
"366",NA,156,NA,"1990","3","2","1"
"367",NA,157,NA,"1990","3","2","1"
"368",NA,158,NA,"1990","3","2","1"
"369",NA,159,NA,"1990","3","2","1"
"370",NA,160,NA,"1990","3","2","1"
"371",NA,161,NA,"1990","3","2","1"
"372",NA,162,NA,"1990","3","2","1"
"373",NA,166,NA,"1990","3","2","1"
"374",NA,167,NA,"1990","3","2","1"
"375",NA,168,NA,"1990","3","2","1"
"376",NA,169,NA,"1990","3","2","1"
"377",NA,170,NA,"1990","3","2","1"
"378",NA,171,NA,"1990","3","2","1"
"379",NA,172,NA,"1990","3","2","1"
"380",NA,173,NA,"1990","3","2","1"
"381",NA,174,NA,"1990","3","2","1"
"382",NA,175,NA,"1990","3","2","1"
"383",NA,176,NA,"1990","3","2","1"
"384",NA,183,NA,"1990","3","2","1"
"385",NA,184,NA,"1990","3","2","1"
"386",NA,185,NA,"1990","3","2","1"
"387",NA,186,NA,"1990","3","2","1"
"388",NA,3,NA,"1990","4","2","3"
"389",26,4,780,"1990","4","2","3"
"390",32,5,960,"1990","4","2","3"
"391",22,6,660,"1990","4","2","3"
"392",12,7,360,"1990","4","2","3"
"393",2,8,60,"1990","4","2","3"
"394",1,9,30,"1990","4","2","3"
"395",1,10,30,"1990","4","2","3"
"396",NA,11,NA,"1990","4","2","3"
"397",2,19,60,"1990","4","2","3"
"398",22.5019607843137,20,675.058823529412,"1990","4","2","3"
"399",22,21,660,"1990","4","2","3"
"400",25,22,750,"1990","4","2","3"
"401",20,23,600,"1990","4","2","3"
"402",7,24,210,"1990","4","2","3"
"403",13,25,390,"1990","4","2","3"
"404",7,26,210,"1990","4","2","3"
"405",2,27,60,"1990","4","2","3"
"406",24,35,720,"1990","4","2","3"
"407",26,36,780,"1990","4","2","3"
"408",35,37,1050,"1990","4","2","3"
"409",35,38,1050,"1990","4","2","3"
"410",18,39,540,"1990","4","2","3"
"411",12,40,360,"1990","4","2","3"
"412",14,41,420,"1990","4","2","3"
"413",5,42,150,"1990","4","2","3"
"414",NA,43,NA,"1990","4","2","3"
"415",NA,49,NA,"1990","4","2","3"
"416",31,50,930,"1990","4","2","3"
"417",32.1254901960784,51,963.764705882353,"1990","4","2","3"
"418",24,52,720,"1990","4","2","3"
"419",22,53,660,"1990","4","2","3"
"420",16,54,480,"1990","4","2","3"
"421",6,55,180,"1990","4","2","3"
"422",NA,56,NA,"1990","4","2","3"
"423",NA,64,NA,"1990","4","2","3"
"424",56,65,1680,"1990","4","2","3"
"425",75.8745098039216,66,2276.23529411765,"1990","4","2","3"
"426",10,67,300,"1990","4","2","3"
"427",13,68,390,"1990","4","2","3"
"428",NA,69,NA,"1990","4","2","3"
"429",18,79,540,"1990","4","2","3"
