"","GPS_LAT","GPS_LONG","class"
"80",56.70861,22.25483,"0"
"81",57.13262,22.39439,"0"
"82",57.15034,22.40028,"0"
"83",57.18562,22.41209,"0"
"84",57.25627,22.43581,"0"
"85",57.27394,22.44176,"0"
"86",57.2916,22.44769,"0"
"87",57.49438,22.51626,"0"
"88",57.53888,22.53166,"0"
"89",57.61885,22.54059,"0"
"90",57.16485,22.43882,"0"
"91",57.20404,22.45492,"0"
"92",57.44742,22.53434,"0"
"93",57.48273,22.54641,"0"
"94",57.51805,22.558506,"0"
"95",57.55335,22.57063,"0"
"96",57.6066,22.59223,"0"
"97",56.70242,22.31921,"0"
"98",57.10876,22.45355,"0"
"99",57.2636,22.50351,"0"
"100",57.19392,22.5158,"0"
"101",57.50906,22.67646,"0"
"102",57.52712,22.6673,"0"
"103",57.45243,22.67162,"0"
"104",57.47393,22.682,"0"
"105",57.54071,22.70218,"0"
"106",57.16685,22.60756,"0"
"107",57.20218,22.619549,"0"
"108",57.23748,22.6316,"0"
"109",57.43163,22.69828,"0"
"110",57.1988,22.65297,"0"
"111",57.51669,22.76176,"0"
"112",57.49632,22.78981,"0"
"113",56.78667,22.57971,"0"
"114",57.0691,22.67505,"0"
"115",57.15735,22.70517,"0"
"116",57.4745,22.81219,"0"
"117",56.65998,22.57069,"0"
"118",56.73058,22.59418,"0"
"119",57.45418,22.84175,"0"
"120",56.70976,22.62048,"0"
"121",57.0275,22.72793,"0"
"122",57.0804,22.74601,"0"
"123",56.72425,22.65857,"0"
"124",56.79486,22.68234,"0"
"125",57.20074,22.82113,"0"
"126",57.43005,22.90113,"0"
"127",56.54318,22.8297,"0"
"128",56.66668,22.87167,"0"
"129",56.70197,22.88372,"0"
"130",57.23541,23.0542,"0"
"131",56.52699,22.62574,"0"
"132",56.75638,22.70266,"0"
"133",57.17988,22.84757,"0"
"134",57.4114,22.91741,"0"
"135",56.66497,22.70508,"0"
"136",56.75322,22.73485,"0"
"137",57.03503,22.83154,"0"
"138",57.26486,22.91081,"0"
"139",57.35305,22.94174,"0"
"140",57.38828,22.95499,"0"
"141",56.65225,22.83355,"0"
"142",56.68753,22.84558,"0"
"143",56.50297,22.6839,"0"
"144",56.8559,22.80311,"0"
"145",57.24398,22.93727,"0"
"146",57.29689,22.9558,"0"
"147",57.33216,22.96822,"0"
"148",56.42921,22.69229,"0"
"149",56.62334,22.75741,"0"
"150",56.74684,22.79926,"0"
"151",57.1702,22.94518,"0"
"152",57.22313,22.96369,"0"
"153",56.39075,22.71244,"0"
"154",56.63788,22.79547,"0"
"155",56.70835,22.81943,"0"
"156",56.83186,22.86159,"0"
"157",57.3433,23.03979,"0"
"158",56.40522,22.75023,"0"
"159",56.49345,22.77983,"0"
